,District,Year,BCG,OPV3,HepB1,HepB3,DTP1,DTP3,DTPHepHib1,DTPHepHib3,MCV1,TT2+,PCV3,VitA_6_11months,VitA12_59months,Hib3,Pneumo1,Pneumo2,Pneumo3,Rotavirus1,Rotavirus2,PAB,MCV2,DTP2,OPV1,OPV2,MCV1_MR1,MCV2_MR2,HPV
85,Karonga,2013,0.855376737,0.83226561,0.0,0.0,0.0,0.0,0.869638117,0.841739279,0.777736062,0.369714704,0.0,0.35694101799999994,0.0,0.0,0.865087772,0.83189263,0.8309974809999999,0.8014575340000001,0.731412055,0.369714704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Likoma,2013,1.108108108,0.860530473,0.0,0.0,0.0,0.0,0.923764342,0.855031876,0.811043098,0.883783784,0.0,0.351910225,0.0,0.0,0.978750314,0.852282577,0.811043098,0.8440346809999999,0.6983218529999999,0.883783784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Mzimba,2013,0.782573198,0.7380390520000001,0.0,0.0,0.0,0.0,0.758976495,0.7121043859999999,0.720618175,0.493479691,0.0,0.295067555,0.0,0.0,0.7602258000000001,0.7429206,0.718651675,0.6940125859999999,0.6764760320000001,0.493479691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Nkhata Bay,2013,0.76809944,0.745879305,0.0,0.0,0.0,0.0,0.802600165,0.75536538,0.755463175,0.491697505,0.0,0.17094493600000002,0.0,0.0,0.7628955629999999,0.682801797,0.710086487,0.66558995,0.637522904,0.491697505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Rumphi,2013,0.9666244190000001,0.9071846170000001,0.0,0.0,0.0,0.0,0.953443665,0.903440412,0.8250536709999999,0.533798057,0.0,0.29458438,0.0,0.0,0.965521746,0.931703121,0.9006624540000001,0.897159811,0.822034151,0.533798057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Dedza,2013,1.088101201,0.914367307,0.0,0.0,0.0,0.0,1.063739997,0.958371422,0.9524058990000001,0.563186284,0.0,0.335275833,0.0,0.0,1.04547477,0.957399511,0.9293481440000001,0.962225553,0.914668935,0.563186284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Dowa,2013,0.7802875990000001,0.75450411,0.0,0.0,0.0,0.0,0.80130996,0.7673369720000001,0.7618814559999999,0.740674308,0.0,0.226186948,0.0,0.0,0.7708706590000001,0.731597141,0.7265445890000001,0.724312787,0.6837683809999999,0.740674308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Kasungu,2013,0.834380165,0.7080886390000001,0.0,0.0,0.0,0.0,0.824932995,0.712375471,0.707214352,0.37611570200000005,0.0,0.426596119,0.0,0.0,0.800255512,0.744301083,0.689361955,0.735642812,0.65650565,0.37611570200000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Lilongwe,2013,0.9333196690000001,0.852244757,0.0,0.0,0.0,0.0,0.926595334,0.897628105,0.8530177590000001,0.9429039909999999,0.0,0.512866413,0.0,0.0,0.911694705,0.862609085,0.834262292,0.8659757109999999,0.825291401,0.9429039909999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Mchinji,2013,0.895884602,0.826201321,0.0,0.0,0.0,0.0,0.930355507,0.83917176,0.811394706,0.587438004,0.0,0.123414506,0.0,0.0,0.9253157879999999,0.874098182,0.874957669,0.85050136,0.842062761,0.587438004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Nkhotakota,2013,0.9793228540000001,0.8797328390000001,0.0,0.0,0.0,0.0,1.000475541,0.878850586,0.882631672,0.8143289,0.0,0.11047075,0.0,0.0,0.972180409,0.89006781,0.8662469629999999,0.842930262,0.764220641,0.8143289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Ntcheu,2013,0.9619143490000001,0.91913254,0.0,0.0,0.0,0.0,1.011926507,0.951850816,0.951850816,0.626735456,0.0,0.17486621,0.0,0.0,1.008139866,0.982441766,0.9859731270000001,0.986228407,0.9619768879999999,0.626735456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Ntchisi,2013,0.866921864,0.754872599,0.0,0.0,0.0,0.0,0.817333057,0.76517935,0.797184522,0.540493883,0.0,0.34237009999999996,0.0,0.0,0.8146207540000001,0.767814158,0.769286551,0.804546487,0.76145962,0.540493883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Salima,2013,0.9400610290000001,0.854963076,0.0,0.0,0.0,0.0,0.935790835,0.880499473,0.829820412,0.843668265,0.0,0.126050806,0.0,0.0,0.903504729,0.8512507359999999,0.837582576,0.811877437,0.762885802,0.843668265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Balaka,2013,0.930421595,0.951175366,0.0,0.0,0.0,0.0,0.945940117,0.960068982,0.939127985,0.616803154,0.0,0.303455218,0.0,0.0,0.984163742,1.000941769,1.035380877,0.8859555159999999,0.8648252940000001,0.616803154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Blantyre,2013,1.045678585,0.8938632120000001,0.0,0.0,0.0,0.0,0.971390932,0.825052146,0.891250412,0.588438757,0.0,0.10440224,0.0,0.0,0.987331211,0.9312767590000001,0.9244703040000001,0.612515095,0.5476122520000001,0.588438757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
