,district,age_grp,sex,number
431,Ntcheu,60-64,M,4884.142839383391
432,Lilongwe City,60-64,M,4271.337728617088
433,Mangochi,60-64,M,6674.071117201559
434,Machinga,60-64,M,4226.42779404926
435,Zomba,60-64,M,5210.389951307311
436,Chiradzulu,60-64,M,2787.6090423817864
437,Blantyre,60-64,M,3166.4256017020525
438,Mwanza,60-64,M,751.0605808368143
439,Thyolo,60-64,M,5056.198985107893
440,Mulanje,60-64,M,4762.855123540616
441,Phalombe,60-64,M,2584.140565840028
442,Chikwawa,60-64,M,3521.658095501201
443,Nsanje,60-64,M,2030.0798882233394
444,Balaka,60-64,M,3025.643591504155
445,Neno,60-64,M,895.716445755689
446,Zomba City,60-64,M,522.5162313237408
447,Blantyre City,60-64,M,4139.230558915558
448,Chitipa,65-69,M,1418.901565167052
449,Karonga,65-69,M,1978.5646662721765
450,Nkhata Bay,65-69,M,1810.0365602200357
451,Rumphi,65-69,M,1317.9380959238265
452,Mzimba,65-69,M,6389.1317646333055
453,Likoma,65-69,M,89.70881806291732
454,Mzuzu City,65-69,M,730.9922990708269
455,Kasungu,65-69,M,4870.198231692632
456,Nkhotakota,65-69,M,2291.8165016014673
457,Ntchisi,65-69,M,2132.1685122165836
458,Dowa,65-69,M,5321.178250745241
459,Salima,65-69,M,3036.6802544601605
460,Lilongwe,65-69,M,10945.506000001222
461,Mchinji,65-69,M,3378.789154996223
462,Dedza,65-69,M,6023.230190533069
463,Ntcheu,65-69,M,5443.935534438636
464,Lilongwe City,65-69,M,3042.052861668341
465,Mangochi,65-69,M,7788.236835621459
466,Machinga,65-69,M,5213.643494081079
467,Zomba,65-69,M,6240.811801950921
468,Chiradzulu,65-69,M,3357.2074788091068
469,Blantyre,65-69,M,3612.8238287309964
470,Mwanza,65-69,M,841.304294038137
471,Thyolo,65-69,M,5819.942446940631
472,Mulanje,65-69,M,5675.791133550746
473,Phalombe,65-69,M,3343.8133007334964
474,Chikwawa,65-69,M,3913.4437844883155
475,Nsanje,65-69,M,2236.92727163333
476,Balaka,65-69,M,3521.1655302831564
477,Neno,65-69,M,935.6559501341375
478,Zomba City,65-69,M,397.1713216458915
479,Blantyre City,65-69,M,3196.7873651694945
480,Chitipa,70-74,M,1033.7433160088028
481,Karonga,70-74,M,1545.5877192982455
482,Nkhata Bay,70-74,M,1383.224261541866
483,Rumphi,70-74,M,1024.4621379728662
484,Mzimba,70-74,M,4497.169091369349
485,Likoma,70-74,M,54.02354236938115
486,Mzuzu City,70-74,M,486.0164141870639
487,Kasungu,70-74,M,3028.6514313372154
488,Nkhotakota,70-74,M,1382.832193183524
489,Ntchisi,70-74,M,1251.1717197203134
490,Dowa,70-74,M,3314.7842069769817
491,Salima,70-74,M,1809.013895799275
492,Lilongwe,70-74,M,7186.418801367625
493,Mchinji,70-74,M,2190.2753090211772
494,Dedza,70-74,M,3911.095577186122
495,Ntcheu,70-74,M,2974.261879783144
496,Lilongwe City,70-74,M,1621.791604923796
497,Mangochi,70-74,M,4464.26161685723
498,Machinga,70-74,M,2869.12543545479
499,Zomba,70-74,M,3300.025101643981
500,Chiradzulu,70-74,M,1818.1506017513136
501,Blantyre,70-74,M,1937.1359070963165
502,Mwanza,70-74,M,476.4479912026819
503,Thyolo,70-74,M,3353.953198809075
504,Mulanje,70-74,M,3262.5224928264142
505,Phalombe,70-74,M,1772.891065316102
506,Chikwawa,70-74,M,2302.660319754057
507,Nsanje,70-74,M,1411.4574352871966
508,Balaka,70-74,M,1941.9877138275328
509,Neno,70-74,M,536.7479734762204
510,Zomba City,70-74,M,204.97579347318901
511,Blantyre City,70-74,M,1685.8704577489427
512,Chitipa,75+,M,1922.3827657101995
513,Karonga,75+,M,2553.9364843244903
514,Nkhata Bay,75+,M,2414.0346984870785
515,Rumphi,75+,M,1637.4680333913711
516,Mzimba,75+,M,8105.086634105665
517,Likoma,75+,M,139.27170097060645
518,Mzuzu City,75+,M,621.7861817130048
519,Kasungu,75+,M,5028.610859680196
520,Nkhotakota,75+,M,2618.6588378358438
521,Ntchisi,75+,M,2428.601468450085
522,Dowa,75+,M,6233.576030102166
523,Salima,75+,M,3652.4528751155026
524,Lilongwe,75+,M,13695.24015576615
525,Mchinji,75+,M,3841.4817343372542
526,Dedza,75+,M,7542.8612325890535
527,Ntcheu,75+,M,5627.466184461075
528,Lilongwe City,75+,M,2072.093829284416
529,Mangochi,75+,M,9055.80218193975
530,Machinga,75+,M,6041.092402078761
531,Zomba,75+,M,6426.163530300351
532,Chiradzulu,75+,M,3600.6418690017517
533,Blantyre,75+,M,3617.1812951553566
534,Mwanza,75+,M,904.8630382820793
535,Thyolo,75+,M,6620.054645051119
536,Mulanje,75+,M,6283.1478335991305
537,Phalombe,75+,M,3623.8703178484107
538,Chikwawa,75+,M,4824.99521856472
539,Nsanje,75+,M,3051.838772863408
540,Balaka,75+,M,3748.8764790284204
541,Neno,75+,M,960.496373589026
542,Zomba City,75+,M,272.80950929884875
543,Blantyre City,75+,M,2031.767161836594
0,Chitipa,Less than 1 Year,F,3239.0378926219637
1,Karonga,Less than 1 Year,F,5131.153470418708
2,Nkhata Bay,Less than 1 Year,F,4155.765927476719
3,Rumphi,Less than 1 Year,F,3306.225871767011
4,Mzimba,Less than 1 Year,F,13976.50762403955
5,Likoma,Less than 1 Year,F,155.34632064431747
6,Mzuzu City,Less than 1 Year,F,2760.9097219711484
7,Kasungu,Less than 1 Year,F,12211.460679302405
8,Nkhotakota,Less than 1 Year,F,6509.913909997277
9,Ntchisi,Less than 1 Year,F,4858.046261223898
10,Dowa,Less than 1 Year,F,10902.073724159265
11,Salima,Less than 1 Year,F,8119.116319567845
12,Lilongwe,Less than 1 Year,F,25528.731279574837
13,Mchinji,Less than 1 Year,F,8630.34553257901
14,Dedza,Less than 1 Year,F,12848.22029061591
15,Ntcheu,Less than 1 Year,F,9816.790521036737
16,Lilongwe City,Less than 1 Year,F,13862.39465571232
17,Mangochi,Less than 1 Year,F,22010.76779605976
18,Machinga,Less than 1 Year,F,13201.07602816281
19,Zomba,Less than 1 Year,F,11370.239365548718
20,Chiradzulu,Less than 1 Year,F,4982.101878809107
21,Blantyre,Less than 1 Year,F,6525.8546961570855
22,Mwanza,Less than 1 Year,F,1914.0960984810881
23,Thyolo,Less than 1 Year,F,10188.421298041738
24,Mulanje,Less than 1 Year,F,10495.72507224747
25,Phalombe,Less than 1 Year,F,6835.70489696123
26,Chikwawa,Less than 1 Year,F,9261.959541973918
27,Nsanje,Less than 1 Year,F,4893.91211626912
28,Balaka,Less than 1 Year,F,7128.517105062057
29,Neno,Less than 1 Year,F,2266.6503677028873
30,Zomba City,Less than 1 Year,F,1351.4636473579462
31,Blantyre City,Less than 1 Year,F,10865.186243539632
32,Chitipa,1-4,F,13079.289396280546
33,Karonga,1-4,F,20957.08129787304
34,Nkhata Bay,1-4,F,16277.430597756787
