Variant,Period,Sex,Age_Grp,death_rate
WPP_Medium,2050-2054,M,80-84,0.12644017
WPP_Medium,2050-2054,M,85-89,0.2106975
WPP_Medium,2050-2054,M,90-94,0.34136029
WPP_Medium,2050-2054,M,95-99,0.48940318
WPP_Medium,2055-2059,M,0-0,0.012138705
WPP_Medium,2055-2059,M,1-4,0.00094950374
WPP_Medium,2055-2059,M,5-9,0.00043509422
WPP_Medium,2055-2059,M,10-14,0.00036808414
WPP_Medium,2055-2059,M,15-19,0.00073754471
WPP_Medium,2055-2059,M,20-24,0.0011859726
WPP_Medium,2055-2059,M,25-29,0.0015317536
WPP_Medium,2055-2059,M,30-34,0.0020795978
WPP_Medium,2055-2059,M,35-39,0.0029624681
WPP_Medium,2055-2059,M,40-44,0.0040537222
WPP_Medium,2055-2059,M,45-49,0.0056317739
WPP_Medium,2055-2059,M,50-54,0.0083727369
WPP_Medium,2055-2059,M,55-59,0.011632751
WPP_Medium,2055-2059,M,60-64,0.017801657
WPP_Medium,2055-2059,M,65-69,0.027665534
WPP_Medium,2055-2059,M,70-74,0.043767912
WPP_Medium,2055-2059,M,75-79,0.071308385
WPP_Medium,2055-2059,M,80-84,0.11939814
WPP_Medium,2055-2059,M,85-89,0.20039784
WPP_Medium,2055-2059,M,90-94,0.32693365
WPP_Medium,2055-2059,M,95-99,0.47345628
WPP_Medium,2060-2064,M,0-0,0.010990952
WPP_Medium,2060-2064,M,1-4,0.00082074897
WPP_Medium,2060-2064,M,5-9,0.00038892564
WPP_Medium,2060-2064,M,10-14,0.00033483596
WPP_Medium,2060-2064,M,15-19,0.00069033265
WPP_Medium,2060-2064,M,20-24,0.0011128499
WPP_Medium,2060-2064,M,25-29,0.0014283328
WPP_Medium,2060-2064,M,30-34,0.0019333992
WPP_Medium,2060-2064,M,35-39,0.0027381905
WPP_Medium,2060-2064,M,40-44,0.0037368881
WPP_Medium,2060-2064,M,45-49,0.0051832897
WPP_Medium,2060-2064,M,50-54,0.0077282204
WPP_Medium,2060-2064,M,55-59,0.010711986
WPP_Medium,2060-2064,M,60-64,0.016439471
