Year,Sex,Age_Grp,Variant,Count
2001,F,30-34,GBD_Est,7042.786051731002
2001,F,35-39,GBD_Est,6079.8607769120745
2001,F,40-44,GBD_Est,4650.092153437595
2001,F,45-49,GBD_Est,4064.040834034759
2001,F,5-9,GBD_Est,1763.7251945188957
2001,F,50-54,GBD_Est,3612.4545190227095
2001,F,55-59,GBD_Est,2889.204084986946
2001,F,60-64,GBD_Est,2665.689535487408
2001,F,65-69,GBD_Est,2828.516769332117
2001,F,70-74,GBD_Est,3282.8930300811758
2001,F,75-79,GBD_Est,3150.5572119677763
2001,F,80-84,GBD_Est,2345.400884280488
2001,F,85-89,GBD_Est,1198.0068350835027
2001,F,90-94,GBD_Est,479.4913655610511
2001,M,0-4,GBD_Est,41859.279226398634
2001,M,10-14,GBD_Est,1172.1823992971879
2001,M,15-19,GBD_Est,1507.0583019300018
2001,M,20-24,GBD_Est,2079.7862031702607
2001,M,25-29,GBD_Est,3397.8178649745587
2001,M,30-34,GBD_Est,5002.849151429305
2001,M,35-39,GBD_Est,5970.964010125765
2001,M,40-44,GBD_Est,5728.496775910875
2001,M,45-49,GBD_Est,5051.1997265680575
2001,M,5-9,GBD_Est,2025.4160594330704
2001,M,50-54,GBD_Est,4516.465405782016
2001,M,55-59,GBD_Est,3982.814756673903
2001,M,60-64,GBD_Est,3970.5221367762106
2001,M,65-69,GBD_Est,4107.907272264513
2001,M,70-74,GBD_Est,3927.3419500727537
2001,M,75-79,GBD_Est,3058.6575826306316
2001,M,80-84,GBD_Est,1941.1025078342375
2001,M,85-89,GBD_Est,836.8951653919535
2001,M,90-94,GBD_Est,295.50567696690956
2002,F,0-4,GBD_Est,35021.99855823099
2002,F,10-14,GBD_Est,861.7587242238294
2002,F,15-19,GBD_Est,1522.9904819525163
2002,F,20-24,GBD_Est,4063.7433014137337
2002,F,25-29,GBD_Est,7426.329526440978
2002,F,30-34,GBD_Est,7312.67386874005
2002,F,35-39,GBD_Est,6278.9280943125805
2002,F,40-44,GBD_Est,4839.051809005903
2002,F,45-49,GBD_Est,4135.974544201647
2002,F,5-9,GBD_Est,1777.6371848032366
2002,F,50-54,GBD_Est,3625.4098005544706
2002,F,55-59,GBD_Est,2933.276032871674
2002,F,60-64,GBD_Est,2670.5445396048535
2002,F,65-69,GBD_Est,2774.0284869672164
2002,F,70-74,GBD_Est,3207.1088395265115
2002,F,75-79,GBD_Est,3137.367430871283
2002,F,80-84,GBD_Est,2424.7155238595305
2002,F,85-89,GBD_Est,1234.3809723234467
2002,F,90-94,GBD_Est,522.3397772579017
2002,M,0-4,GBD_Est,40421.735245642536
2002,M,10-14,GBD_Est,1186.35570103759
2002,M,15-19,GBD_Est,1539.8862361498864
2002,M,20-24,GBD_Est,2067.0256794868096
2002,M,25-29,GBD_Est,3388.650412950958
2002,M,30-34,GBD_Est,5038.491561215619
2002,M,35-39,GBD_Est,6065.72930461735
2002,M,40-44,GBD_Est,5851.377528016917
2002,M,45-49,GBD_Est,5141.497693902057
2002,M,5-9,GBD_Est,2040.4892517528208
2002,M,50-54,GBD_Est,4532.719505601932
2002,M,55-59,GBD_Est,4048.073700610376
2002,M,60-64,GBD_Est,4002.024925976734
2002,M,65-69,GBD_Est,4060.602319864341
2002,M,70-74,GBD_Est,3917.2747219049165
2002,M,75-79,GBD_Est,3026.541847505184
2002,M,80-84,GBD_Est,1975.6766224261112
2002,M,85-89,GBD_Est,846.2377243855992
2002,M,90-94,GBD_Est,304.98324570303816
2003,F,0-4,GBD_Est,33070.89810810096
2003,F,10-14,GBD_Est,882.9131751033326
2003,F,15-19,GBD_Est,1529.0383325955463
2003,F,20-24,GBD_Est,3882.4929925192946
2003,F,25-29,GBD_Est,7453.032628012302
2003,F,30-34,GBD_Est,7540.713078071471
2003,F,35-39,GBD_Est,6410.348844636506
2003,F,40-44,GBD_Est,5030.9338065817765
2003,F,45-49,GBD_Est,4197.283013971136
2003,F,5-9,GBD_Est,1790.8838484167118
2003,F,50-54,GBD_Est,3669.247424877662
2003,F,55-59,GBD_Est,2965.0164959139597
2003,F,60-64,GBD_Est,2677.4472662409185
2003,F,65-69,GBD_Est,2732.224026052071
2003,F,70-74,GBD_Est,3125.5274792796554
2003,F,75-79,GBD_Est,3170.9815419555675
